,name,author,rating,year,genre
242,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,2009,Non Fiction
243,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,2013,Non Fiction
244,The Getaway,Jeff Kinney,4.8,2017,Fiction
245,The Girl on the Train,Paula Hawkins,4.1,2015,Fiction
246,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,2010,Fiction
247,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,2010,Fiction
248,The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,2009,Fiction
249,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,2009,Fiction
250,The Going-To-Bed Book,Sandra Boynton,4.8,2016,Childrens
251,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,2013,Fiction
252,The Great Gatsby,F. Scott Fitzgerald,4.4,2012,Fiction
253,The Guardians: A Novel,John Grisham,4.5,2019,Fiction
254,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,2009,Fiction
255,The Handmaid's Tale,Margaret Atwood,4.3,2017,Fiction
256,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,2012,Fiction
257,The Hate U Give,Angie Thomas,4.8,2018,Fiction
258,The Help,Kathryn Stockett,4.8,2009,Fiction
259,"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,2013,Fiction
260,The Hunger Games,Suzanne Collins,4.7,2010,Fiction
261,The Hunger Games (Book 1),Suzanne Collins,4.7,2011,Fiction
262,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,2011,Fiction
263,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,2010,Non Fiction
264,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,2017,Non Fiction
265,The Last Lecture,Randy Pausch,4.7,2009,Non Fiction
266,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,2009,Fiction
267,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,2013,Fiction
268,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,2011,Childrens
269,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,2015,Non Fiction
270,The Litigators,John Grisham,4.4,2011,Fiction
271,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,2010,Fiction
272,The Lost Symbol,Dan Brown,4.2,2009,Fiction
273,The Love Dare,Stephen Kendrick,4.8,2009,Non Fiction
274,The Magnolia Story,Chip Gaines,4.9,2016,Non Fiction
275,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,2012,Fiction
276,The Martian,Andy Weir,4.7,2015,Fiction
277,The Maze Runner (Book 1),James Dashner,4.5,2014,Fiction
278,The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,2018,Childrens
279,The Mueller Report,The Washington Post,4.6,2019,Non Fiction
280,The Nightingale: A Novel,Kristin Hannah,4.8,2015,Fiction
281,The Official SAT Study Guide,The College Board,4.4,2010,Non Fiction
282,"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,2016,Non Fiction
283,The Paris Wife: A Novel,Paula McLain,4.3,2011,Fiction
284,"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2013,Non Fiction
285,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,2015,Non Fiction
286,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2012,Non Fiction
